Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2024-09-01 12:08:03,Other,BLUE HEAD PADDING MATERIAL MUST BE USED,,,,,,1
2024-09-01 12:20:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-09-01 12:30:01,Other,PIT EXIT CLOSED,,,,,,1
2024-09-01 12:45:09,Other,RISK OF RAIN FOR F1 RACE IS 40 %,,,,,,1
2024-09-01 12:57:04,Drs,DRS DISABLED,DISABLED,,,,,1
2024-09-01 13:03:34,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2024-09-01 13:05:13,Drs,DRS ENABLED,ENABLED,,,,,2
2024-09-01 13:07:52,Other,TURN 8 INCIDENT INVOLVING CARS 3 (RIC) AND 27 (HUL) NOTED - CAUSING A COLLISION,,,,,,3
2024-09-01 13:11:21,Other,TURN 1 INCIDENT INVOLVING CARS 27 (HUL) AND 22 (TSU) NOTED - CAUSING A COLLISION,,,,,,6
2024-09-01 13:12:02,Other,CAR 22 (TSU) TIME 1:32.241 DELETED - TRACK LIMITS AT TURN 2 LAP 5 15:09:44,,,,,,6
2024-09-01 13:13:02,Other,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 3 (RIC) AND 27 (HUL) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,7
2024-09-01 13:14:30,Other,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 27 (HUL) AND 22 (TSU) UNDER INVESTIGATION - CAUSING A COLLISION,,,,,,8
2024-09-01 13:15:00,Other,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 3 (RIC) - FORCING ANOTHER CAR OFF THE TRACK,,,,,,9
2024-09-01 13:15:12,Other,CAR 22 (TSU) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 7 15:12:44 (PIT),,,,,,9
2024-09-01 13:15:36,Other,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 27 (HUL) - CAUSING A COLLISION,,,,,,9
2024-09-01 13:18:09,Other,CAR 3 (RIC) TIME 1:26.111 DELETED - TRACK LIMITS AT TURN 2 LAP 10 15:16:50,,,,,,11
