driver_number,stint_number,lap_start,lap_end,compound,tyre_age_at_start
1,1,1,22,HARD,1.0
1,2,23,41,HARD,1.0
1,3,42,53,MEDIUM,1.0
10,1,1,10,MEDIUM,1.0
10,2,11,30,HARD,1.0
10,3,31,52,HARD,1.0
11,1,1,23,HARD,1.0
11,2,24,35,HARD,1.0
11,3,36,53,MEDIUM,1.0
14,1,1,12,MEDIUM,2.0
14,2,13,35,HARD,2.0
14,3,36,53,HARD,3.0
16,1,1,15,MEDIUM,1.0
16,2,16,53,HARD,1.0
18,1,1,19,HARD,2.0
18,2,20,36,HARD,3.0
18,3,37,50,MEDIUM,2.0
18,4,51,52,SOFT,1.0
20,1,1,14,MEDIUM,1.0
20,2,15,53,HARD,1.0
22,1,1,7,HARD,2.0
23,1,1,17,MEDIUM,1.0
23,2,18,53,HARD,1.0
24,1,1,15,MEDIUM,2.0
24,2,16,52,HARD,2.0
27,1,1,5,MEDIUM,1.0
27,2,6,32,HARD,1.0
27,3,33,52,HARD,1.0
3,1,1,11,MEDIUM,1.0
3,2,12,53,HARD,2.0
31,1,1,31,HARD,1.0
31,2,32,52,MEDIUM,1.0
4,1,1,14,MEDIUM,1.0
4,2,15,32,HARD,1.0
4,3,33,53,HARD,1.0
43,1,1,16,MEDIUM,1.0
43,2,17,53,HARD,1.0
44,1,1,15,MEDIUM,1.0
44,2,16,37,HARD,1.0
44,3,38,53,HARD,1.0
55,1,1,19,MEDIUM,1.0
55,2,20,53,HARD,1.0
63,1,1,11,MEDIUM,1.0
63,2,12,33,HARD,1.0
63,3,34,53,HARD,1.0
77,1,1,33,HARD,2.0
77,2,34,52,MEDIUM,2.0
81,1,1,16,MEDIUM,1.0
81,2,17,38,HARD,1.0
81,3,39,53,HARD,1.0
