Date,Status,X,Y,Z,Source,Time,SessionTime,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance
2024-09-01 14:16:45.396,OnTrack,,,,car,0 days 00:00:00,0 days 02:09:01.477000,11169.0,315.0,8,100.0,False,0,9.8,0.0017087376855294124
2024-09-01 14:16:45.489,OnTrack,-1366.0,-581.0,1872.0,pos,0 days 00:00:00.093000,0 days 02:09:01.570000,11228.2874592,316.7437488,8,100.0,False,0,18.006112967535735,0.003139563652808995
2024-09-01 14:16:45.556,OnTrack,-1360.3766769614865,-518.4042440173929,1872.2554746674878,car,0 days 00:00:00.160000,0 days 02:09:01.637000,11271.0,318.0,8,100.0,False,0,23.933333333333337,0.004173039653775913
2024-09-01 14:16:45.729,OnTrack,-1347.0,-370.0,1873.0,pos,0 days 00:00:00.333000,0 days 02:09:01.810000,11277.796426057143,319.2357138285714,8,100.0,False,0,39.295993596096494,0.00685168828040536
2024-09-01 14:16:45.836,OnTrack,-1339.5387970510155,-287.61100819190693,1873.5216614131914,car,0 days 00:00:00.440000,0 days 02:09:01.917000,11282.0,320.0,8,100.0,False,0,48.82222222222222,0.008512690918612514
2024-09-01 14:16:45.929,OnTrack,-1331.0,-193.0,1874.0,pos,0 days 00:00:00.533000,0 days 02:09:02.010000,11305.834146787009,320.46733621151,8,100.0,False,0,57.10950420636699,0.009957669595848956
2024-09-01 14:16:46.035,OnTrack,-1316.4034248445857,-30.499146276626078,1874.560205595924,car,0 days 00:00:00.639000,0 days 02:09:02.116000,11333.0,321.0,8,100.0,False,0,66.5663888888889,0.011606581355515387
2024-09-01 14:16:46.129,OnTrack,-1304.0,108.0,1875.0,pos,0 days 00:00:00.733000,0 days 02:09:02.210000,11337.6999936,321.46999936,8,100.0,False,0,74.9652641113539,0.0130710175400751
2024-09-01 14:16:46.235,OnTrack,-1295.5479216064452,202.98642815932232,1875.360602494142,car,0 days 00:00:00.839000,0 days 02:09:02.316000,11343.0,322.0,8,100.0,False,0,84.45527777777778,0.014725705702116695
2024-09-01 14:16:46.490,OnTrack,-1287.0,305.0,1876.0,pos,0 days 00:00:01.094000,0 days 02:09:02.571000,11408.1666176,323.4166656,8,100.0,False,0,107.38619227361374,0.018723962616676654
2024-09-01 14:16:46.595,OnTrack,-1279.9973523003382,389.660964050079,1876.4139333804064,car,0 days 00:00:01.199000,0 days 02:09:02.676000,11435.0,324.0,8,100.0,False,0,116.85527777777779,0.020375001723662918
2024-09-01 14:16:46.730,OnTrack,-1269.0,520.0,1877.0,pos,0 days 00:00:01.334000,0 days 02:09:02.811000,11460.312464,324.8437488,8,100.0,False,0,129.04296550459577,0.022500059001038242
2024-09-01 14:16:46.755,OnTrack,-1266.9789007137351,543.2402052013049,1877.1005118233065,car,0 days 00:00:01.359000,0 days 02:09:02.836000,11465.0,325.0,8,100.0,False,0,131.29972222222224,0.022893549332719875
2024-09-01 14:16:46.970,OnTrack,-1250.0,735.0,1878.0,pos,0 days 00:00:01.574000,0 days 02:09:03.051000,11473.958325333333,325.0,8,100.0,False,0,150.69442980224434,0.02627522971453689
2024-09-01 14:16:47.115,OnTrack,-1239.1381441859678,865.4417461442649,1878.9067489327933,car,0 days 00:00:01.719000,0 days 02:09:03.196000,11480.0,325.0,8,100.0,False,0,163.79972222222221,0.028560281453098024
2024-09-01 14:16:47.130,OnTrack,-1238.0,879.0,1879.0,pos,0 days 00:00:01.734000,0 days 02:09:03.211000,11483.458289066666,325.0833322666667,8,100.0,False,0,165.1579062339545,0.028797095759703174
2024-09-01 14:16:47.310,OnTrack,-1224.0,1042.0,1880.0,pos,0 days 00:00:01.914000,0 days 02:09:03.391000,11524.958348088889,326.0833336888889,8,100.0,False,0,181.49248830178084,0.031645209632832544
2024-09-01 14:16:47.475,OnTrack,-1211.2548036003157,1191.1224137451811,1880.7327447628907,car,0 days 00:00:02.079000,0 days 02:09:03.556000,11563.0,327.0,8,100.0,False,0,196.4997222222222,0.03426188577114004
2024-09-01 14:16:47.530,OnTrack,-1207.0,1241.0,1881.0,pos,0 days 00:00:02.134000,0 days 02:09:03.611000,11558.8750144,327.13749952,8,100.0,False,0,201.505173131796,0.035134641138717206
2024-09-01 14:16:47.850,OnTrack,-1182.0,1531.0,1883.0,pos,0 days 00:00:02.454000,0 days 02:09:03.931000,11534.8750144,327.93749952,8,100.0,False,0,230.66293963063714,0.040218618122639334
2024-09-01 14:16:47.875,OnTrack,-1180.0498235221626,1553.0163102718298,1883.1655125891064,car,0 days 00:00:02.479000,0 days 02:09:03.956000,11533.0,328.0,8,100.0,False,0,232.9441666666667,0.04061637512322221
2024-09-01 14:16:48.010,OnTrack,-1169.0,1677.0,1884.0,pos,0 days 00:00:02.614000,0 days 02:09:04.091000,11557.8905896,328.4218744,8,100.0,False,0,245.2714792263813,0.04276577752445532
2024-09-01 14:16:48.195,OnTrack,-1149.4946835358176,1900.8193759531273,1884.6526359156617,car,0 days 00:00:02.799000,0 days 02:09:04.276000,11592.0,329.0,8,100.0,False,0,262.18861111111113,0.045715465359405225
2024-09-01 14:16:48.310,OnTrack,-1139.0,2023.0,1885.0,pos,0 days 00:00:02.914000,0 days 02:09:04.391000,11614.2812624,329.3593752,8,100.0,False,0,272.71870312790384,0.047551502610546664
2024-09-01 14:16:48.515,OnTrack,-1128.0685601901569,2152.7765381057197,1885.8042401775917,car,0 days 00:00:03.119000,0 days 02:09:04.596000,11654.0,330.0,8,100.0,False,0,291.52194444444444,0.0508300543501055
2024-09-01 14:16:48.570,OnTrack,-1125.0,2188.0,1886.0,pos,0 days 00:00:03.174000,0 days 02:09:04.651000,11668.666615466667,330.2291658666667,8,100.0,False,0,296.5754891313385,0.05171119539622824
2024-09-01 14:16:48.755,OnTrack,-1111.21194709687,2341.5757876710422,1886.5635642749874,car,0 days 00:00:03.359000,0 days 02:09:04.836000,11718.0,331.0,8,100.0,False,0,313.5886111111111,0.05467762015901867
2024-09-01 14:16:48.830,OnTrack,-1104.0,2425.0,1887.0,pos,0 days 00:00:03.434000,0 days 02:09:04.911000,11722.375003733334,331.0,8,100.0,False,0,320.4820393654832,0.05587956512235937
