Date,Status,X,Y,Z,Source,Time,SessionTime,RPM,Speed,nGear,Throttle,Brake,DRS,Distance,RelativeDistance
2024-09-01 14:17:36.676,OnTrack,,,,car,0 days 00:00:00,0 days 02:09:52.757000,11372.0,316.0,8,99.0,False,0,0.17555555555555555,3.057541104419632e-05
2024-09-01 14:17:36.689,OnTrack,-1378.0,-727.0,1871.0,pos,0 days 00:00:00.013000,0 days 02:09:52.770000,11371.2416704,316.1083328,8,99.0,False,0,1.3212415141213396,0.00023011235534572562
2024-09-01 14:17:36.849,OnTrack,-1355.0,-463.0,1872.0,pos,0 days 00:00:00.173000,0 days 02:09:52.930000,11361.908337066667,317.44166613333334,8,99.0,False,0,15.446840305527733,0.0026902793829621046
2024-09-01 14:17:36.916,OnTrack,-1349.516343890792,-399.0777546766527,1872.2669243389898,car,0 days 00:00:00.240000,0 days 02:09:52.997000,11358.0,318.0,8,99.0,False,0,21.375555555555554,0.0037228465675205615
2024-09-01 14:17:37.189,OnTrack,-1340.0,-286.0,1873.0,pos,0 days 00:00:00.513000,0 days 02:09:53.270000,11440.658313955555,319.5166663111111,8,99.0,False,0,45.61769333441886,0.007944947798285798
2024-09-01 14:17:37.276,OnTrack,-1333.4384617705648,-213.35999792130627,1873.4739890437477,car,0 days 00:00:00.600000,0 days 02:09:53.357000,11467.0,320.0,8,99.0,False,0,53.37555555555555,0.009296086048994321
2024-09-01 14:17:37.509,OnTrack,-1311.0,32.0,1875.0,pos,0 days 00:00:00.833000,0 days 02:09:53.590000,11504.8624896,321.94166613333334,8,99.0,False,0,74.21604767015876,0.012925743969820857
2024-09-01 14:17:37.516,OnTrack,-1310.4745652074255,37.77096451228806,1875.0341313675594,car,0 days 00:00:00.840000,0 days 02:09:53.597000,11506.0,322.0,8,99.0,False,0,74.84222222222222,0.0130348008678163
2024-09-01 14:17:37.676,OnTrack,-1300.8529736859189,144.4690108988716,1875.6295814616453,car,0 days 00:00:01,0 days 02:09:53.757000,11521.0,322.0,8,99.0,False,0,89.15333333333334,0.015527277413697622
2024-09-01 14:17:37.749,OnTrack,-1295.0,211.0,1876.0,pos,0 days 00:00:01.073000,0 days 02:09:53.830000,11545.6374784,322.3041664,8,99.0,False,0,95.69382736324889,0.01666639427481852
2024-09-01 14:17:37.916,OnTrack,-1274.487365356157,446.97453042280915,1877.3450814076998,car,0 days 00:00:01.240000,0 days 02:09:53.997000,11602.0,323.0,8,99.0,False,0,110.68666666666667,0.019277603148106007
2024-09-01 14:17:38.009,OnTrack,-1264.0,569.0,1878.0,pos,0 days 00:00:01.333000,0 days 02:09:54.090000,11617.1124896,323.5812496,8,99.0,False,0,119.05050995872675,0.02073428132473628
2024-09-01 14:17:38.076,OnTrack,-1258.4254964875038,634.8169351576407,1878.312064850955,car,0 days 00:00:01.400000,0 days 02:09:54.157000,11628.0,324.0,8,99.0,False,0,125.08666666666666,0.021785560914769197
2024-09-01 14:17:38.429,OnTrack,-1243.0,821.0,1879.0,pos,0 days 00:00:01.753000,0 days 02:09:54.510000,11654.4749952,325.9611107555556,8,99.0,False,0,157.0513799804504,0.027352654735218244
