meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1244,9590,2024-09-01T12:08:03+00:00,,1,Other,,,,,BLUE HEAD PADDING MATERIAL MUST BE USED
1244,9590,2024-09-01T12:20:01+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1244,9590,2024-09-01T12:30:01+00:00,,1,Other,,,,,PIT EXIT CLOSED
1244,9590,2024-09-01T12:45:09+00:00,,1,Other,,,,,RISK OF RAIN FOR F1 RACE IS 40 %
1244,9590,2024-09-01T12:57:04+00:00,,1,Drs,,,,,DRS DISABLED
1244,9590,2024-09-01T13:03:34+00:00,,1,Flag,GREEN,Track,,,GREEN LIGHT - PIT EXIT OPEN
1244,9590,2024-09-01T13:03:34.412000+00:00,,1,SessionStatus,,,,,SESSION STARTED
1244,9590,2024-09-01T13:05:13+00:00,,2,Drs,,,,,DRS ENABLED
1244,9590,2024-09-01T13:07:52+00:00,,3,Other,,,,,TURN 8 INCIDENT INVOLVING CARS 3 (RIC) AND 27 (HUL) NOTED - CAUSING A COLLISION
1244,9590,2024-09-01T13:11:21+00:00,,6,Other,,,,,TURN 1 INCIDENT INVOLVING CARS 27 (HUL) AND 22 (TSU) NOTED - CAUSING A COLLISION
1244,9590,2024-09-01T13:12:02+00:00,,6,Other,,,,,CAR 22 (TSU) TIME 1:32.241 DELETED - TRACK LIMITS AT TURN 2 LAP 5 15:09:44
1244,9590,2024-09-01T13:13:02+00:00,,7,Other,,,,,FIA STEWARDS: TURN 8 INCIDENT INVOLVING CARS 3 (RIC) AND 27 (HUL) UNDER INVESTIGATION - CAUSING A COLLISION
1244,9590,2024-09-01T13:14:30+00:00,,8,Other,,,,,FIA STEWARDS: TURN 1 INCIDENT INVOLVING CARS 27 (HUL) AND 22 (TSU) UNDER INVESTIGATION - CAUSING A COLLISION
1244,9590,2024-09-01T13:15:00+00:00,,9,Other,,,,,FIA STEWARDS: 5 SECOND TIME PENALTY FOR CAR 3 (RIC) - FORCING ANOTHER CAR OFF THE TRACK
1244,9590,2024-09-01T13:15:12+00:00,,9,Other,,,,,CAR 22 (TSU) LAP DELETED - TRACK LIMITS AT TURN 2 LAP 7 15:12:44 (PIT)
1244,9590,2024-09-01T13:15:36+00:00,,9,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 27 (HUL) - CAUSING A COLLISION
1244,9590,2024-09-01T13:18:09+00:00,,11,Other,,,,,CAR 3 (RIC) TIME 1:26.111 DELETED - TRACK LIMITS AT TURN 2 LAP 10 15:16:50
1244,9590,2024-09-01T13:22:08+00:00,,14,Other,,,,,CAR 55 (SAI) TIME 1:25.423 DELETED - TRACK LIMITS AT TURN 2 LAP 13 15:20:51
1244,9590,2024-09-01T13:26:21+00:00,,17,Other,,,,,PIT LANE INCIDENT INVOLVING CAR 3 (RIC) NOTED - FAILING TO SERVE TIME PENALTY CORRECTLY
1244,9590,2024-09-01T13:27:21+00:00,,17,Other,,,,,FIA STEWARDS: PIT LANE INCIDENT INVOLVING CAR 3 (RIC) UNDER INVESTIGATION - FAILING TO SERVE TIME PENALTY CORRECTLY
1244,9590,2024-09-01T13:28:31+00:00,,18,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 3 (RIC) - FAILING TO SERVE TIME PENALTY CORRECTLY
1244,9590,2024-09-01T13:30:30+00:00,,19,Other,,,,,TURN 4 INCIDENT INVOLVING CARS 20 (MAG) AND 10 (GAS) NOTED - CAUSING A COLLISION
1244,9590,2024-09-01T13:31:45+00:00,,20,Other,,,,,CAR 14 (ALO) TIME 1:24.882 DELETED - TRACK LIMITS AT TURN 4 LAP 18 15:28:55
1244,9590,2024-09-01T13:31:48+00:00,,20,Other,,,,,CAR 20 (MAG) TIME 1:26.533 DELETED - TRACK LIMITS AT TURN 5 LAP 18 15:29:03
1244,9590,2024-09-01T13:31:52+00:00,,20,Other,,,,,CAR 10 (GAS) TIME 1:26.182 DELETED - TRACK LIMITS AT TURN 5 LAP 18 15:29:03
1244,9590,2024-09-01T13:35:41+00:00,,23,Other,,,,,FIA STEWARDS: TURN 4 INCIDENT INVOLVING CARS 20 (MAG) AND 10 (GAS) UNDER INVESTIGATION - CAUSING A COLLISION
1244,9590,2024-09-01T13:38:15+00:00,,25,Other,,,,,FIA STEWARDS: 10 SECOND TIME PENALTY FOR CAR 20 (MAG) - CAUSING A COLLISION
1244,9590,2024-09-01T13:42:50+00:00,,28,Other,,,,,CAR 10 (GAS) TIME 1:27.191 DELETED - TRACK LIMITS AT TURN 4 LAP 27 15:41:52
1244,9590,2024-09-01T13:47:42+00:00,10.0,32,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 10 (GAS) TIMED AT 15:47:42
