meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1244,9590,1,18,1,19,HARD,1
1244,9590,1,31,1,31,HARD,0
1244,9590,1,22,1,7,HARD,1
1244,9590,1,44,1,15,MEDIUM,0
1244,9590,1,77,1,33,HARD,1
1244,9590,1,4,1,14,MEDIUM,0
1244,9590,1,10,1,10,MEDIUM,0
1244,9590,1,24,1,15,MEDIUM,1
1244,9590,1,81,1,16,MEDIUM,0
1244,9590,1,3,1,11,MEDIUM,0
1244,9590,1,14,1,12,MEDIUM,1
1244,9590,1,63,1,11,MEDIUM,0
1244,9590,1,16,1,15,MEDIUM,0
1244,9590,1,11,1,23,HARD,0
1244,9590,1,55,1,19,MEDIUM,0
1244,9590,1,20,1,14,MEDIUM,0
1244,9590,1,23,1,17,MEDIUM,0
1244,9590,1,1,1,22,HARD,0
1244,9590,1,43,1,16,MEDIUM,0
1244,9590,1,27,1,5,MEDIUM,0
1244,9590,2,27,6,32,HARD,0
1244,9590,2,10,11,30,HARD,0
1244,9590,2,63,12,33,HARD,0
1244,9590,2,3,12,53,HARD,1
1244,9590,2,14,13,35,HARD,1
1244,9590,2,4,15,32,HARD,0
1244,9590,2,20,15,53,HARD,0
1244,9590,2,16,16,53,HARD,0
1244,9590,2,44,16,37,HARD,0
1244,9590,2,24,16,52,HARD,1
1244,9590,2,81,17,38,HARD,0
1244,9590,2,43,17,53,HARD,0
1244,9590,2,23,18,53,HARD,0
1244,9590,2,55,20,53,HARD,0
1244,9590,2,18,20,36,HARD,1
1244,9590,2,1,23,41,HARD,0
1244,9590,2,11,24,35,HARD,0
1244,9590,3,10,31,52,HARD,0
1244,9590,2,31,32,52,MEDIUM,0
1244,9590,3,4,33,53,HARD,0
1244,9590,3,27,33,52,HARD,0
1244,9590,3,63,34,53,HARD,0
1244,9590,2,77,34,52,MEDIUM,1
1244,9590,3,11,36,53,MEDIUM,0
1244,9590,3,14,36,53,HARD,2
1244,9590,3,18,37,50,MEDIUM,1
1244,9590,3,44,38,53,HARD,0
1244,9590,3,81,39,53,HARD,0
1244,9590,3,1,42,53,MEDIUM,0
1244,9590,4,18,51,52,SOFT,0
